Volume,WVolPrice,Open,High,Low,Close,Timestamp,Transactions
59915,177.6364,177.2,177.976,177.976,177.2,1591276500000,419
4436900,178.4508,177.976,178.35,179.0193,177.332,1591277400000,16533
2857085,178.4311,178.3,178.73,179.15,177.64,1591278300000,11740
2406400,178.3916,178.758,178.07,179.148,177.79,1591279200000,9282
1479585,177.9683,178.116,178,178.4,177.628,1591280100000,6118
1859545,177.706,178,177.093,178.44,176.9169,1591281000000,8655
940890,177.4217,177.0609,177.61,177.688,177.0609,1591281900000,5015
1765560,176.7792,177.66,176.386,177.666,176.1,1591282800000,8486
2895195,175.6167,176.3027,175.7435,176.4,174.9,1591283700000,14502
1595705,176.3211,175.698,176.3813,176.92,175.6039,1591284600000,6311
1009830,176.2113,176.422,176.0267,176.5109,175.9871,1591285500000,4346
762850,176.335,176.054,176.236,176.555,176.054,1591286400000,3320
960030,176.6602,176.239,176.6004,177,176.164,1591287300000,3830
1197710,175.9792,176.5807,175.577,176.5807,175.5547,1591288200000,5020
1552600,175.2943,175.602,175.036,175.7335,174.828,1591289100000,7059
1015455,175.4884,175.02,175.646,175.788,175.02,1591290000000,4127
687395,175.5364,175.6262,175.23,175.82,175.2,1591290900000,3111
907540,175.7152,175.26,175.9528,175.976,175.26,1591291800000,3401
807815,175.9215,175.978,176.0738,176.2152,175.6,1591292700000,3441
782515,175.6977,176.16,175.4519,176.19,175.3,1591293600000,3387
757195,175.4049,175.4467,175.123,175.754,175.0653,1591294500000,3627
2579555,174.2375,175.146,173.7145,175.2481,173.504,1591295400000,13245
2221325,173.6319,173.694,172.4,174.5,172.3359,1591296300000,10446
2631630,172.5215,172.402,172.826,173.132,171.688,1591297200000,12503
1871620,172.544,172.828,172.562,172.958,171.902,1591298100000,8244
1435080,172.7356,172.634,172.595,173,172.444,1591299000000,6933
1909405,172.7577,172.592,172.854,172.898,172.45,1591299900000,9354
195450,172.8683,172.876,172.76,172.95,172.76,1591300800000,325
6890,172.6881,172.8,172.66,172.8,172.604,1591301700000,95
13700,172.8013,172.67,172.898,172.898,172.67,1591302600000,151
15190,173.0165,172.998,173.158,173.158,172.92,1591303500000,139
2360,173.0396,173.01,173.01,173.01,173.01,1591304400000,22
1335,173.0668,173.036,173.036,173.036,173.036,1591308000000,11
1425,173.0387,173.036,173.036,173.036,173.036,1591308900000,15
17540,173.3395,173.146,173.5,173.576,173.146,1591309800000,97
